,accuracy_train,precision_train,recall_train,f1_train,auc_train,accuracy_test,precision_test,recall_test,f1_test,auc_test,year,model
0,0.9501207901094216,1.0,0.0056657223796034,0.011267605633802816,0.5028328611898017,0.9590305828043855,0.0,0.0,0.0,0.5,data/3year.arff,RF
1,0.8269148784993605,0.08848715509039011,0.26345609065155806,0.13247863247863248,0.5600643708793397,0.8338141950375072,0.09056603773584905,0.3380281690140845,0.14285714285714285,0.5965110760834562,data/3year.arff,LR
2,0.9189995736819667,0.10545454545454545,0.0821529745042493,0.09235668789808917,0.5226743328535609,0.9195037507212925,0.02097902097902098,0.02112676056338028,0.02105263157894737,0.48950441517940374,data/3year.arff,MLP
3,1.0,1.0,1.0,1.0,1.0,0.967397576457011,0.7543859649122807,0.3028169014084507,0.4321608040201005,0.6493025541939967,data/3year.arff,XGB
4,0.9451219512195121,0.0,0.0,0.0,0.5,0.9520420792079208,0.0,0.0,0.0,0.5,data/4year.arff,RF
5,0.8460365853658537,0.1130952380952381,0.2638888888888889,0.15833333333333333,0.5718637992831542,0.8465346534653465,0.10070257611241218,0.27741935483870966,0.14776632302405499,0.5763112373803558,data/4year.arff,LR
6,0.7929878048780488,0.03189493433395872,0.09444444444444444,0.04768583450210378,0.46399641577060935,0.8060024752475248,0.01639344262295082,0.05161290322580645,0.024883359253499222,0.4478084015641544,data/4year.arff,MLP
7,1.0,1.0,1.0,1.0,1.0,0.963180693069307,0.86,0.27741935483870966,0.41951219512195115,0.6375722058561439,data/4year.arff,XGB
8,0.9525132609244759,0.9611650485436893,0.3498233215547703,0.5129533678756476,0.6743675911364712,0.9395181957970271,0.6363636363636364,0.16535433070866143,0.2625,0.5793876916701202,data/5year.arff,RF
9,0.8188936600151553,0.18911174785100288,0.4664310954063604,0.2691131498470948,0.656229693513844,0.8139415684264479,0.18783068783068782,0.5590551181102362,0.2811881188118812,0.6953718573007321,data/5year.arff,LR
10,0.9143723162414751,0.3613861386138614,0.2579505300353357,0.3010309278350516,0.6114290190981901,0.9082521783700667,0.2796610169491525,0.25984251968503935,0.2693877551020408,0.6066208212460285,data/5year.arff,MLP
11,1.0,1.0,1.0,1.0,1.0,0.9528446950281907,0.7536231884057971,0.4094488188976378,0.5306122448979592,0.7000643217295206,data/5year.arff,XGB
